26114,25310,24565,23807,23009,22261,21485,20729,20020,19339,18685,18107,17504,16872,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25982,25119,24347,23583,22806,22083,21388,20708,20038,19434,18823,18191,17519,16875,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26412,25448,24577,23776,23011,22249,21494,20787,20125,19424,18744,18166,17558,16933,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26084,25246,24402,23633,22858,22156,21431,20747,20011,19419,18782,18138,17535,16898,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26257,25397,24581,23793,23027,22223,21484,20734,20020,19345,18675,18079,17453,16841,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26288,25460,24602,23806,23023,22224,21408,20688,20005,19347,18704,18065,17429,16818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26330,25443,24591,23831,23039,22322,21627,20847,20083,19438,18741,18149,17533,16828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26352,25465,24586,23814,22981,22221,21424,20765,20113,19436,18798,18187,17519,16882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26194,25322,24524,23740,22956,22205,21481,20696,20011,19349,18697,18025,17484,16870,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26193,25322,24558,23758,22967,22191,21432,20747,20068,19428,18823,18204,17596,17003,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26255,25361,24432,23692,22907,22169,21439,20758,20099,19433,18815,18184,17604,16980,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26079,25219,24450,23659,22882,22187,21438,20715,20031,19390,18757,18147,17555,16941,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26134,25230,24342,23569,22828,22130,21441,20783,20101,19490,18827,18167,17571,16868,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26221,25416,24580,23801,22974,22175,21440,20771,20037,19365,18742,18126,17557,16944,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26190,25253,24423,23669,22927,22165,21515,20833,20213,19494,18804,18115,17481,16799,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26197,25367,24488,23669,22902,22092,21347,20649,19991,19354,18699,18112,17506,16875,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26264,25355,24540,23731,22979,22248,21490,20805,20068,19360,18722,18072,17544,16917,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26185,25266,24423,23590,22929,22180,21480,20758,20116,19452,18816,18217,17579,16942,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26344,25409,24543,23740,22900,22236,21524,20854,20163,19467,18767,18114,17447,16814,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26255,25372,24532,23729,22903,22056,21301,20578,19905,19332,18766,18146,17552,16949,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26114,25209,24386,23601,22843,22166,21456,20763,20046,19375,18762,18086,17459,16874,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26300,25505,24565,23759,22977,22188,21413,20695,20025,19385,18763,18124,17502,16891,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26132,25261,24453,23659,22876,22143,21401,20700,20035,19364,18756,18129,17508,16918,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26232,25344,24498,23671,22879,22105,21383,20657,20032,19445,18808,18218,17557,16952,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26210,25322,24507,23686,22991,22301,21595,20835,20125,19428,18748,18097,17471,16830,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26220,25311,24498,23644,22902,22207,21485,20797,20139,19453,18789,18179,17522,16931,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26123,25340,24534,23713,22939,22195,21452,20729,20038,19366,18721,18119,17538,16924,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26243,25330,24487,23717,22914,22169,21387,20685,20023,19337,18698,18045,17487,16915,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26313,25405,24566,23793,22994,22222,21538,20785,20062,19419,18761,18105,17492,16841,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26202,25303,24487,23640,22856,22072,21315,20609,19985,19424,18832,18200,17560,16934,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26325,25460,24658,23900,23116,22410,21694,20979,20234,19512,18787,18118,17475,16847,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26176,25317,24446,23665,22815,22077,21372,20676,20081,19442,18753,18144,17515,16879,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26070,25209,24380,23576,22849,22149,21459,20779,20106,19416,18765,18132,17504,16910,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26124,25308,24494,23720,22957,22195,21474,20756,20033,19342,18749,18161,17545,16898,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26217,25289,24444,23613,22839,22124,21456,20738,20105,19492,18862,18199,17543,16923,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26318,25425,24588,23729,22922,22094,21309,20588,19906,19306,18725,18150,17547,16985,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
